Name,Team,Reason,Date_2022-12-26 00:00:00,Date_2022-12-27 00:00:00,Date_2022-12-28 00:00:00,Date_2022-12-29 00:00:00,Date_2022-12-30 00:00:00,Date_2022-12-31 00:00:00,Date_2022-01-01 00:00:00,Date_2022-01-02 00:00:00,Date_2022-01-03 00:00:00,Date_2022-01-04 00:00:00
Aaron Cresswell,West Ham United,Lower Back Injury,0,0,0,0,0,0,1,1,1,1
Aaron Cresswell,"West Ham United
TRACK
4",Lower Back Injury,1,1,1,0,0,0,0,0,0,0
Aaron Cresswell,"West Ham United
TRACK
5",Lower Back Injury,0,0,0,1,1,1,0,0,0,0
Aaron Wan-Bissaka,"Manchester United
TRACK
7",Knee Injury,1,0,0,0,0,0,0,0,0,0
Adam Armstrong,"Southampton
TRACK
3",Calf/Shin/Heel Injury,1,0,0,0,0,0,0,0,0,0
Adam Masina,"Watford
TRACK
8",Thigh Injury,0,1,0,0,0,0,0,0,0,0
Adam Webster,"Brighton and Hove Albion
TRACK
8",Calf/Shin/Heel Injury,1,0,0,0,0,0,0,0,0,0
Adrian San Miguel del Castillo,Liverpool,Calf/Shin/Heel Injury,0,0,0,0,0,0,1,1,0,0
Adrian San Miguel del Castillo,"Liverpool
TRACK
4",Calf/Shin/Heel Injury,0,0,1,0,0,0,0,0,0,0
Adrian San Miguel del Castillo,"Liverpool
TRACK
6",Calf/Shin/Heel Injury,0,0,0,1,0,0,0,0,0,0
Adrian San Miguel del Castillo,"Liverpool
TRACK
7",Calf/Shin/Heel Injury,0,0,0,0,1,1,0,0,0,0
Adrian San Miguel del Castillo,"Liverpool
TRACK
8",Calf/Shin/Heel Injury,1,1,0,0,0,0,0,0,0,0
Ainsley Maitland-Niles,"Arsenal
TRACK
7",Illness,1,0,0,0,0,0,0,0,0,0
Albert-Mboyo Sambi Lokonga,"Arsenal
TRACK
7",Illness,1,0,0,0,0,0,0,0,0,0
Alex McCarthy,Southampton,Thigh Injury,0,0,0,0,0,0,1,1,1,1
Alex McCarthy,"Southampton
TRACK
3",Thigh Injury,1,0,0,0,0,0,0,0,0,0
Alex McCarthy,"Southampton
TRACK
4",Thigh Injury,0,1,1,0,0,0,0,0,0,0
Alex McCarthy,"Southampton
TRACK
9",Thigh Injury,0,0,0,1,1,1,0,0,0,0
Alisson Becker,Liverpool,Illness,0,0,0,0,0,0,0,1,1,1
Allan Saint-Maximin,Newcastle United,Calf/Shin/Heel Injury,0,0,0,0,0,0,1,1,1,1
Allan Saint-Maximin,"Newcastle United
TRACK
12",Calf/Shin/Heel Injury,0,0,1,0,1,1,0,0,0,0
Allan Saint-Maximin,"Newcastle United
TRACK
13",Calf/Shin/Heel Injury,0,0,0,1,0,0,0,0,0,0
Andreas Christensen,Chelsea,Lower Back Injury,0,0,0,0,0,0,1,1,1,1
Andreas Christensen,"Chelsea
TRACK
6",Lower Back Injury,0,0,0,0,1,1,0,0,0,0
Andrew Omobamidele,Norwich City,Lower Back Injury,0,0,0,0,0,0,1,1,1,1
