Name,Team,Nationalaty,age,Matches Played_x,Matches Starts_x,Minutes / Div By 90_x,Goals_x,Asissts_x,Yellows_x,Reds_x,Total Shots_x,Passes Attemted_x,Passes Total Distance_x,Short Passes_x,Medium Passes_x,Long Passes_x,Cross Passes_x,Head Pases_x,Tackeled_x,Tackeled Dribbels_x,Pressure Applying_x,Blocks_x,Shots Blocks_x,Clearence_x,Touches_x,Touches Defencive Penalty Area_x,Touches Defencive 3RD_x,Touches Mid 3RD_x,Touches Attacking 3RD_x,Touches Attacking Penalty Area_x,Touches Live Game_x,Dribbels Succes_x,Dribbels Attempted_x,Carries_x,Carries To Distance_x,Carries Proggresive_x,Carries Proggresive Foword_x,Carries Tackeled_x,Reciving Passes_x,Fouls Commited_x,Fouls Drawn_x,Tackele Won_x,looseBallRecovered_x,Aerial Duals Won_x,Aerial Duals Lost_x,Matches Played_y,Matches Starts_y,Minutes / Div By 90_y,Goals_y,Asissts_y,Yellows_y,Reds_y,Total Shots_y,Passes Attemted_y,Passes Total Distance_y,Short Passes_y,Medium Passes_y,Long Passes_y,Cross Passes_y,Head Pases_y,Tackeled_y,Tackeled Dribbels_y,Pressure Applying_y,Blocks_y,Shots Blocks_y,Clearence_y,Touches_y,Touches Defencive Penalty Area_y,Touches Defencive 3RD_y,Touches Mid 3RD_y,Touches Attacking 3RD_y,Touches Attacking Penalty Area_y,Touches Live Game_y,Dribbels Succes_y,Dribbels Attempted_y,Carries_y,Carries To Distance_y,Carries Proggresive_y,Carries Proggresive Foword_y,Carries Tackeled_y,Reciving Passes_y,Fouls Commited_y,Fouls Drawn_y,Tackele Won_y,looseBallRecovered_y,Aerial Duals Won_y,Aerial Duals Lost_y,Position_AMF,Position_DF,Position_DMF,Position_FW,Position_GK,Position_MF,Christmas-played-games
Aaron Connolly,Brighton,0,21,6,3,3.6,2,0,0,0,7,18,212,11,7,0,3,0,0,0,27,2,0,0,34,0,0,14,21,4,33,0,1,22,131,40,3,1,64,1,9,1,7,0,7,17,9,8.8,2,1,0,0,23,101,1147,56,30,5,2,5,7,1,124,9,1,1,201,1,14,84,116,38,191,8,10,124,655,387,17,15,357,7,16,5,28,11,30,0,0,0,1,0,0,3
Aaron Cresswell,West Ham,1,32,18,18,17.7,1,3,0,0,10,1192,17607,456,472,224,43,21,19,7,104,22,8,38,1321,61,348,636,426,14,1102,1,8,803,3844,2001,80,7,882,7,6,11,140,23,11,39,38,37.8,0,8,3,0,19,2061,30884,736,736,518,105,49,31,14,230,48,14,98,2307,182,767,1053,594,18,1861,6,15,1266,5387,2617,97,9,1366,19,19,16,307,38,30,0,1,0,0,0,0,3
Aaron Lennon,Burnley,1,34,9,3,3.1,0,0,1,0,4,29,312,14,8,4,10,0,3,1,33,4,1,1,47,1,9,18,22,3,47,1,3,27,143,84,4,1,40,4,4,4,8,0,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Aaron Ramsdale,Arsenal,1,23,16,16,16.0,0,0,1,0,0,532,10677,90,157,283,0,0,0,0,1,0,0,1,574,484,573,2,0,0,443,1,1,301,1552,885,0,0,273,0,4,0,80,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Aaron Wan Bissaka,Manchester Utd,1,24,18,18,17.4,0,0,2,1,3,1014,13120,541,342,88,23,17,39,5,183,45,12,40,1215,68,422,579,309,18,1077,32,48,800,4082,2545,94,18,834,14,16,24,132,13,21,54,54,52.2,2,6,5,0,10,2777,36451,1436,1052,183,82,66,134,29,611,153,22,145,3389,181,1109,1523,967,52,2995,57,87,2061,10392,5751,259,36,2165,46,29,82,372,54,47,0,1,0,0,0,0,3
Abdoulaye Doucouré,Everton,0,28,14,13,13.4,2,4,4,0,21,516,7261,221,197,61,2,28,24,12,284,17,1,17,640,32,172,337,170,26,635,12,22,408,2127,1197,43,7,433,24,13,13,170,17,21,34,32,31.4,3,3,6,0,21,1333,20026,588,534,147,10,60,56,17,544,43,9,29,1579,62,463,880,348,39,1566,17,28,968,4877,2436,81,30,1203,37,16,49,304,37,26,0,0,0,0,0,1,1
Adam Armstrong,Southampton,1,24,16,14,13.4,2,2,0,0,45,227,2690,93,97,21,19,10,8,0,166,6,1,3,356,2,27,144,213,61,332,14,28,251,1463,847,54,20,484,12,8,6,46,8,28,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Adam Forshaw,Leeds United,1,30,13,10,10.1,0,0,2,0,8,357,5746,150,126,61,5,12,23,11,180,7,1,11,440,14,137,249,87,4,430,3,9,292,1359,523,19,10,323,21,12,11,84,5,9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Adam Idah,Norwich City,0,20,13,2,3.1,0,0,0,0,9,53,706,24,18,6,4,1,6,1,32,1,1,2,83,4,8,29,52,11,81,2,3,59,323,104,8,8,116,3,4,3,10,6,8,17,1,3.8,3,1,3,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,0,0,0,0,0,0,1,0,0,1
Adam Lallana,Brighton,1,33,14,12,11.9,0,1,4,0,11,645,8759,335,229,53,9,20,26,8,209,18,4,9,757,25,194,417,192,28,756,12,17,532,2278,1078,47,13,618,12,17,13,108,7,10,31,17,18.6,1,1,0,0,24,936,12397,460,339,83,17,32,32,10,339,26,3,14,1106,33,240,556,382,70,1086,15,24,780,3552,1916,81,17,964,23,28,27,158,13,32,0,0,0,0,0,1,3
Adam Masina,Watford,0,27,10,10,8.6,0,0,0,0,5,356,5358,67,172,108,22,23,19,8,108,12,2,33,441,44,163,198,92,1,357,8,10,205,801,443,15,3,220,10,3,10,60,23,9,26,22,22.0,2,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,25,0,0,0,0,1,0,0,0,0,2
Adam Webster,Brighton,1,26,9,8,6.7,1,0,2,0,3,520,8978,152,273,79,3,24,15,8,52,12,4,23,586,37,283,287,79,2,568,5,6,385,2280,1476,47,2,433,11,2,7,72,22,6,31,31,31.2,1,0,4,0,27,1794,32506,468,889,400,3,114,30,14,214,51,21,123,2075,235,1101,1001,194,33,2025,7,11,1352,9691,6347,162,14,1476,25,19,22,320,90,50,0,1,0,0,0,0,3
Adama Traoré,Wolves,0,25,19,10,12.2,0,0,0,0,22,305,4055,142,106,40,30,5,12,2,133,8,1,2,464,5,57,217,254,53,462,60,81,450,3307,2086,91,34,574,11,37,10,63,11,22,41,30,31.7,3,2,5,0,48,878,9468,384,312,103,131,33,32,9,345,28,2,16,1317,20,133,672,681,117,1293,160,214,1143,8595,5679,306,86,1439,58,108,24,162,78,75,0,0,0,1,0,0,1
Ademola Lookman,Leicester City,1,24,16,10,9.7,3,1,1,0,15,310,3331,173,90,20,14,5,21,6,172,14,1,3,430,5,54,210,187,42,420,17,33,340,1366,689,40,18,392,23,23,14,60,2,9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Ainsley Maitland Niles,Arsenal,1,24,11,4,5.3,0,1,0,0,2,136,1923,59,55,19,2,9,7,1,54,5,1,4,171,9,47,89,41,1,166,2,7,101,422,216,10,5,116,7,3,5,37,5,4,21,13,13.5,0,1,0,0,9,566,8141,272,206,67,14,17,22,11,161,20,4,20,683,36,198,313,223,24,625,12,21,440,2397,1397,65,17,480,13,8,22,91,9,6,0,0,0,0,0,1,2
Albert Sambi Lokonga,Arsenal,0,22,15,10,10.3,0,0,4,0,18,539,8780,221,217,86,3,20,19,7,108,15,6,10,635,26,179,357,136,2,620,3,4,432,2653,1488,62,5,476,11,13,13,86,10,15,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Alex Iwobi,Everton,0,25,15,9,9.9,2,1,0,0,17,238,3063,109,82,28,15,2,11,3,140,8,0,7,332,9,60,126,174,37,327,14,26,262,1481,861,40,13,332,3,3,8,42,5,16,36,21,20.9,2,3,0,0,22,688,9911,242,291,113,64,7,33,14,224,22,1,12,880,25,193,419,363,46,849,46,71,698,4994,2997,148,28,787,18,20,24,118,4,8,1,0,0,0,0,0,1
Alex Král,West Ham,0,23,4,2,2.4,0,0,0,0,1,73,1020,34,26,8,0,8,5,1,34,2,0,0,84,2,16,58,14,3,84,0,0,48,273,112,6,2,59,2,2,8,22,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
